Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash	The two for ten deal at Friday's is worth it because the food is served quickly because fast food restaurants want to servetrash food quickly for ten dollars.	The two-fer ten deal at Fridays is worth it 'cause the grub gets served right quick. See, them fast food joints aim to serve up that trash food as fast as they can for ten bucks.
Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!	People's meals on instagram look like some real trash. Keep that shit in your house!	Folks' suppers on instagram look somethin' like real garbage. Keep that nonsense in y'all's houses!
I jus call boo and she finished Skool she drink andshe smoke my reefer too...	I just called my girlfriend and she finished schoolshe smoke my joint to	I jus' called mah girlfriend an' she jus' finished her school. She smoked mah joint with me.
Bout to see like 40 plates on the gram get meheated I'm starving like shit	I'm about to look at forty meals on instagram that will get meexcited. I'm starving. Damn.	I'm fixin' to check out near forty suppers on instagram what's gonna get me all worked up. I'm plum famished here. Bless my soul.
Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME.	Boy, you have two different females texting you. So I'm going to havetwo different men texting me.	Boy, you got two different gals textin' you. So I'm gonna have two different fellas textin' me.
70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .	70 degrees in Nashville. About to take a trip and then heading to the bar to get drunk. After that I will be.	70 degrees in Nashville. Fixin' to take a trip and then headin' to the bar to get plastered. Once I've sobered up, I'll be.
Continuing the same way, they announced the arrival of my train after itpulls off, so not happy	In the same way, they announced the arrival of my train after itpulled off, I'm so not happy	Just like before, they told me 'bout my train arrivin', right after it left the station, I ain't happy about it.
Females be get they self into street shit but wen somebody put pressure on theyass they tell the police	Women get into trouble in on the streets and when someone pressures themthey tell the police	Women can get into trouble on the streets, and if somebody's puttin' pressure on 'em, they might go tell the cops.
A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me.	A.J., have you ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them. Trust me	A.J., you ever considered leavin' TNA and headin' on over to the WWW? With yore abilities, they wouldn't stand a chance. I swear.
i had no choice ! Like i was already all into the tvand couldn't look away lol	I had no choice! I was already all into the television showand couldn't look away. I'm laughing!	I didn't have no other option! I was just plum hooked on that there television show. I couldn't tear my eyes away, I'm tellin' ya! And I'm laughin' too!
When I see a pretty girl with weave its the equivalent to a girl seeing a dudewith Beijing in his hair"	When I see a pretty girl who has a weave it is the same as seeing a man with an inky black dye combed through his hair	When I come across a real purty gal wearin' a weave, it's just like seein' a fella with that there ink-black dye slicked through his hair.
It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho	It is funny watching Negros go through problems like I do but it is not funny when I go  through shit. Fuck it though.	It's real funny watchin' Negroes go through troubles just like I do, but it ain't funny when I got to deal with some bullshit. Fuck it though.
Fellas call dat single chick dats been sitting outt all cuffing season, say u gonna shovel her snow, ring her belland kiss her in mouth	Men, call a single woman that's been ignored lately. Say you need to do something nice for her and make her feel goodand kiss he	Men, give a call to that single lady who's been overlooked recently. Tell her you gotta do something kind for her, make her feel good, and then give her a good ol' kiss.
She gonna have to make a decision right then and there...Kiss in mouth withass grab...or no snow shovel...	She is going to have to make a decision right then and there. Kiss on the mouth withan ass grab...or no snow shovel.	She's gonna hafta make up her mind real quick. A kiss on the lips with an ass grab...or nothin'. No snow shovel.
Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.	Soon the people that don't play basketball are going to say that Griner could play in the NBA, when she actually couldn't make a division 1 or a division 2 team.	Ain't long before them folks that don't play hoops is gonna say that Griner could play in the NBA, but the truth is, she wouldn't have made it to a Division 1 or a Division 2 team.
middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol	Middle age buddy that shovel that is for his ride and had a bad day going to be onsome bus driver stuff, that's funny	A middle-aged fellow who owns that shovel there for his vehicle, had himself a rough day. He's gonna be actin' all grumpy towards some bus driver, that's hilarious.
Sadly so many HS has crippled these players academically that evenJUCO is hard for them...	Sadly, so many high schools have crippled these players academically, that even JUCO is hard for them.	Sad to say, a whole lotta high schools done held back these here players academically. So much so, that even Juco's a struggle for 'em.
tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games)	Tell them what happened to the mouse in the house the next next play though. (Then askwho won all the games).	Tell 'em bout that mouse in the house, next play, but then again, next next play. (An' then ask who won all them games.)
U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gangNOT make u wanna fight?	Have you ever bumped into someone your age and he still takes gang banging seriously? At what age does a reference to another gangnot make you want to fight	Have you ever run into somethin' like this: you meet someone your own age, and they're still actin' all serious 'bout gang bangin'. At what age do you figure a mention of another gang ain't gonna make you wanna throw down?
Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.	Dear Greeks, if by thirty becoming a member of your organization is your greatest achievement, you don't deserve your fucking letters.	Dear Greeks, if makin' thirty the membership age in y'all's organization be y'all's biggest accomplishment, then y'all don't deserve y'all's goddamn letters.
I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...	Once I am able to escape this competitive struggle for wealth and power I will be taking daytime naps and I will go to the chiropractor.	Once I manage to get away from this here dog-eat-dog competition for money and power, I'll be takin' myself some afternoon siestas. And I'll be headin' on down to see that chiropractor of mine.
Ladies, the older you are in the "game" the more Bullshit urgonna have to sift thru...	Ladies, the older you are in life the more things you aregoing to have to sift through	Ladies, the older y'all get in life, the more stuff y'all is gonna have to sort through.
